下列何者並非台鐵的「特等站」？ 台南 台北 台中 花蓮
雪山隧道位在台灣哪一條國道上？ 國道5號 國道2號 國道3號 國道6號
下列何者為三國演義中「五虎上將」之一？ 黃忠 姜維 馬良 嚴顏 
「山羊魔咒」是關於美國職棒哪一支隊伍的詛咒？ 芝加哥小熊 洛杉磯道奇 波士頓紅襪 底特律老虎
撞球運動「司諾克」（Snooker）的綠色球為幾分？ 3 4 5 7
關於保齡球「完全比賽」的敘述何者錯誤？ 計分格上的符號均為「/」 得分為300分  連續投出12次全倒（strike） 中途並未發生踩線犯規 
下列何者非唐宋八大家中，人稱「三蘇」之一？ 蘇明 蘇洵 蘇轍 蘇軾
南宋謝枋得《文章軌範》引安子順之說：「讀《出師表》不哭者不忠，讀《陳情表》不哭者不孝，讀《祭十二郎文》不哭者不慈」，以下何者非上述作品之作者？ 柳宗元 諸葛亮 韓愈 李密
下列哪位戰國名將相傳曾經坑殺40萬戰俘？ 白起 李牧 王翦 廉頗
日本戰國時期有「第六天魔王」之稱為何人？ 織田信長 豐臣秀吉 武田信玄 德川家康
日本史上的重要事件本能寺之變指的是誰的叛變？ 明智光秀 羽柴秀吉 丹羽長秀 柴田勝家 
古時相傳同樣有皇帝命，但因穿耳洞而破相，最終敗給朱元璋的是何人? 陳友諒 徐達 張無忌 張士誠
台灣知名電影KANO，請問KANO是什麼意思？ 嘉農 棒球 加油 冠軍 
哪位美國總統沒有死於暗殺？ 隆納·雷根 亞伯拉罕·林肯 約翰·甘迺迪 威廉·麥金利
台灣最著名的軍購弊案尹清楓事件，至今仍未破案，以後也不可能破案，與何種巡防艦有關？  拉法葉級 派里級 阿得雷德級 聖塔馬利亞級 
希臘神話中，幫人類偷取了火的神是誰？ 普羅米修斯 海克力斯 阿波羅 阿基里斯 
長年接受台灣金援的非洲國家，於2013年宣布與中華民國斷交的是哪個國家？ 甘比亞共和國 史瓦濟蘭史瓦濟蘭王國 聖多美普林西比民主共和國 利比亞 
目前唯一一位美國奧斯卡影帝三冠王是誰？ 丹尼爾戴路易斯 馬龍白蘭度 湯姆漢克斯 西恩潘
英國搖滾詩人史汀(STING)是從哪個樂團出身的？ 警察 老鷹 滾石 U2
下列哪部電影跟棒球沒有關係？ 心靈捕手 心靈投手 魔球 紅粉聯盟
